Shalitha,Suranga,CST140043,011234567,941234565v,Good experience,shalitha@abc.lk,A123,A123,success
Amila,Perera,CST140011,011234567,911234565v,Awesome,amila@abc.lk,A123,A123,success
Kasun,Nadira,IIT140043,011234567,951234565v,No,amila@wow.lk,A123,A123,success
Surani,Anushika,CST150011,055234567,961234565v,Good experience,sur@syscolabs.lk,A1233,A1233,success
Kamala,Anushka,IIT150043,011234567,961234565v,Best experience,anula@abc.lk,A123,A123,success
Shalitha,Suranga,CST140043,011234567,941234565v,Good experience,shalithaabc.lk,A123,A123,fail
,Perera,CST140011,011234567,911234565v,Awesome,amila@abc.lk,A123,A123,fail
Kasun,Nadira,IIT140043,011234567,951234565v,No,amila_wow.lk,A123,A123,fail
Surani,Anushika,CST150011,,961234565v,Good experience,sur@syscolabs.lk,A1233,A1233,fail
Kamala,Anushka,IIT150043,011234567,,Best experience,anula@abc.lk,A123,A123,fail
